blink_rate,gaze_score,head_deviation,focus_label
0.0,100.0,7.9,2
0.0,100.0,7.1,2
91.87,100.0,7.8,2
84.22,100.0,8.8,2
77.47,100.0,10.2,2
72.01,100.0,10.2,2
67.16,100.0,10.1,2
63.02,100.0,9.9,2
59.28,100.0,10.2,2
111.79,100.0,11.9,2
106.02,100.0,9.5,2
100.67,100.0,11.3,2
95.7,100.0,11.2,2
91.45,100.0,10.2,2
87.44,100.0,10.8,2
83.61,100.0,10.0,2
80.44,100.0,11.4,2
77.27,100.0,11.3,2
74.43,100.0,11.4,2
71.74,100.0,10.4,2
69.26,100.0,10.7,2
66.96,100.0,11.4,2
64.79,100.0,11.1,2
62.66,100.0,10.8,2
60.84,100.0,10.4,2
59.06,100.0,11.0,2
57.37,100.0,10.8,2
55.76,100.0,8.4,2
54.25,100.0,10.9,2
52.81,100.0,9.7,2
51.46,100.0,9.2,2
50.03,100.0,10.0,2
48.94,100.0,9.4,2
47.77,100.0,9.8,2
46.66,100.0,10.3,2
45.59,100.0,11.0,2
44.58,100.0,10.9,2
43.6,100.0,12.0,2
42.66,100.0,11.7,2
41.7,100.0,11.8,2
40.92,100.0,11.4,2
40.1,100.0,11.9,2
39.3,100.0,11.8,2
38.56,100.0,11.1,2
37.83,100.0,12.2,2
37.13,100.0,11.2,2
36.46,100.0,12.5,2
35.78,100.0,12.2,2
35.17,100.0,10.5,2
34.56,100.0,11.3,2
33.97,100.0,11.9,2
33.41,100.0,11.9,2
32.85,100.0,12.4,2
32.33,100.0,11.3,2
31.81,100.0,12.6,2
31.31,100.0,13.4,2
30.82,100.0,12.8,2
30.36,100.0,13.5,2
29.89,100.0,14.8,2
29.46,100.0,14.1,2
29.03,100.0,13.0,2
28.63,100.0,13.4,2
28.22,100.0,12.7,2
27.83,100.0,13.2,2
27.44,100.0,13.7,2
27.07,100.0,16.7,2
40.07,100.0,13.7,2
39.53,100.0,15.9,2
38.98,100.0,13.4,2
38.52,100.0,14.8,2
38.02,100.0,16.9,2
37.56,100.0,18.3,2
37.09,100.0,19.0,2
36.64,100.0,22.2,2
36.2,100.0,24.2,2
47.69,100.0,24.0,2
47.13,100.0,27.6,2
46.59,100.0,26.7,2
46.05,100.0,28.1,2
45.52,100.0,29.3,2
45.01,100.0,30.6,2
44.48,100.0,32.6,2
44.02,100.0,31.8,2
43.54,100.0,29.0,2
43.07,100.0,30.7,2
42.61,100.0,29.1,2
42.16,100.0,27.8,2
41.72,100.0,29.0,2
41.3,100.0,29.1,2
40.87,100.0,29.1,2
40.46,100.0,28.3,2
40.05,100.0,28.7,2
39.65,100.0,32.1,2
39.25,100.0,29.0,2
38.88,100.0,29.9,2
38.51,100.0,31.6,2
38.14,100.0,31.2,2
37.78,100.0,34.5,2
37.43,100.0,33.0,2
37.08,100.0,32.5,2
36.74,100.0,31.9,2
36.41,100.0,32.4,2
36.08,100.0,32.2,2
35.75,100.0,31.1,2
35.43,100.0,31.9,2
35.11,100.0,32.4,2
34.82,100.0,32.1,2
34.53,100.0,32.0,2
34.24,100.0,34.3,2
33.95,100.0,35.4,2
33.67,100.0,36.1,2
33.39,100.0,39.6,2
33.11,100.0,44.2,2
32.83,100.0,46.7,2
32.57,100.0,50.6,2
32.31,100.0,50.1,2
40.05,100.0,50.1,2
39.74,100.0,51.1,2
39.43,100.0,49.5,2
39.12,100.0,47.9,2
38.82,100.0,47.9,2
38.52,100.0,48.3,2
38.23,100.0,48.2,2
37.93,100.0,45.9,2
37.65,100.0,46.8,2
37.37,100.0,47.6,2
37.09,100.0,48.0,2
36.82,100.0,47.2,2
36.55,100.0,48.8,2
36.28,100.0,47.3,2
36.02,100.0,46.3,2
35.75,100.0,46.9,2
35.51,100.0,48.9,2
35.26,100.0,47.0,2
35.01,100.0,46.4,2
34.77,100.0,45.0,2
34.53,100.0,43.3,2
34.28,100.0,42.9,2
34.06,100.0,41.0,2
33.82,100.0,39.7,2
33.6,100.0,37.9,2
33.38,100.0,34.3,2
33.16,100.0,31.6,2
32.94,100.0,29.9,2
32.72,100.0,26.0,2
32.5,100.0,24.8,2
32.3,100.0,22.7,2
32.09,100.0,22.2,2
31.89,100.0,21.4,2
31.68,100.0,21.8,2
31.49,100.0,20.8,2
31.29,100.0,23.3,2
31.09,100.0,21.5,2
30.9,100.0,19.2,2
30.71,100.0,19.2,2
30.53,100.0,19.6,2
30.33,100.0,18.4,2
30.16,100.0,18.5,2
29.98,100.0,16.1,2
29.79,100.0,15.6,2
29.62,100.0,14.0,2
29.45,100.0,13.3,2
29.27,100.0,14.3,2
29.1,100.0,14.2,2
28.93,100.0,12.4,2
28.77,100.0,12.4,2
28.6,100.0,11.8,2
28.44,100.0,12.3,2
33.94,100.0,10.1,2
33.75,100.0,8.6,2
33.56,100.0,6.7,2
33.37,100.0,5.6,2
33.19,100.0,3.5,2
33.0,100.0,1.5,2
32.82,100.0,0.0,2
32.64,100.0,0.8,2
32.46,100.0,0.0,2
32.29,100.0,0.2,2
32.12,100.0,0.4,2
31.95,100.0,1.5,2
31.77,100.0,1.3,2
31.61,100.0,2.6,2
31.44,100.0,3.4,2
31.28,100.0,4.5,2
31.12,100.0,5.0,2
30.96,100.0,5.1,2
30.8,100.0,5.9,2
30.64,100.0,5.1,2
30.49,100.0,4.9,2
30.33,100.0,5.4,2
30.18,100.0,5.6,2
30.03,100.0,5.6,2
29.88,100.0,5.2,2
29.73,100.0,5.4,2
29.59,100.0,5.7,2
29.44,100.0,7.8,2
29.29,100.0,7.1,2
29.15,100.0,8.3,2
29.01,100.0,8.8,2
28.87,100.0,9.7,2
28.74,100.0,10.8,2
28.6,100.0,11.2,2
28.46,100.0,11.8,2
28.33,100.0,11.2,2
28.19,100.0,11.4,2
28.06,100.0,11.6,2
27.93,100.0,11.4,2
27.8,100.0,11.7,2
27.68,100.0,11.5,2
27.55,100.0,12.3,2
27.42,100.0,12.0,2
27.3,100.0,11.3,2
27.17,100.0,11.3,2
27.05,100.0,11.2,2
26.93,100.0,10.9,2
26.81,100.0,9.8,2
26.69,100.0,9.5,2
26.57,100.0,9.9,2
26.46,100.0,8.5,2
26.34,100.0,6.5,2
26.22,100.0,5.6,2
26.11,100.0,4.7,2
26.0,100.0,2.0,2
25.89,100.0,3.1,2
25.78,100.0,1.2,2
25.67,100.0,2.1,2
25.56,100.0,1.5,2
25.45,100.0,0.8,2
25.34,100.0,1.8,2
25.24,100.0,1.7,2
25.13,100.0,0.7,2
25.02,100.0,1.1,2
24.92,100.0,0.2,2
24.82,100.0,0.1,2
24.72,100.0,0.7,2
24.62,100.0,0.2,2
24.52,100.0,1.1,2
24.42,100.0,0.9,2
24.32,100.0,0.9,2
24.22,100.0,0.2,2
24.12,100.0,0.8,2
24.03,100.0,0.8,2
23.93,100.0,1.6,2
23.84,100.0,1.3,2
23.74,100.0,1.9,2
23.65,100.0,0.8,2
23.55,100.0,1.1,2
23.46,100.0,2.4,2
23.37,100.0,1.6,2
23.28,100.0,0.6,2
23.19,100.0,1.2,2
23.1,100.0,0.3,2
23.01,100.0,1.4,2
22.92,100.0,1.5,2
22.84,100.0,3.2,2
22.75,100.0,3.3,2
22.66,100.0,5.5,2
22.58,100.0,6.0,2
22.49,100.0,8.5,2
22.41,100.0,12.5,2
22.33,100.0,15.6,2
22.24,100.0,18.0,2
22.16,100.0,20.7,2
22.08,100.0,23.9,2
22.0,100.0,24.6,2
21.92,100.0,27.2,2
21.84,100.0,30.2,2
21.76,100.0,29.8,2
21.68,100.0,29.2,2
21.6,100.0,29.1,2
21.53,100.0,28.0,2
21.45,100.0,28.2,2
21.37,100.0,29.2,2
21.29,100.0,28.5,2
21.22,100.0,27.3,2
21.15,100.0,26.9,2
21.07,100.0,27.5,2
21.0,100.0,25.7,2
20.93,100.0,24.5,2
20.85,100.0,22.5,2
20.78,100.0,21.0,2
20.71,100.0,21.3,2
20.64,100.0,19.2,2
20.57,100.0,18.6,2
20.5,100.0,18.3,2
20.43,100.0,16.6,2
20.36,100.0,15.1,2
20.29,100.0,15.0,2
20.22,100.0,16.3,2
20.15,100.0,13.6,2
23.43,100.0,15.1,2
23.35,100.0,13.2,2
23.28,100.0,12.6,2
23.2,100.0,11.1,2
23.12,100.0,11.5,2
23.05,100.0,11.6,2
22.97,100.0,11.3,2
22.89,100.0,10.4,2
22.82,100.0,11.6,2
22.75,100.0,11.9,2
22.67,100.0,12.3,2
22.6,100.0,13.6,2
22.53,100.0,12.5,2
22.45,100.0,13.8,2
22.38,100.0,13.4,2
22.31,100.0,13.3,2
22.24,100.0,13.5,2
25.33,100.0,14.3,2
25.25,100.0,13.7,2
25.17,100.0,14.0,2
25.1,100.0,13.8,2
25.02,100.0,13.6,2
24.93,100.0,14.9,2
24.87,100.0,15.0,2
24.79,100.0,15.0,2
24.71,100.0,15.3,2
24.63,100.0,16.8,2
24.56,100.0,16.2,2
24.48,100.0,18.2,2
24.41,100.0,16.9,2
24.33,100.0,17.1,2
24.26,100.0,16.2,2
24.19,100.0,16.0,2
24.11,100.0,15.3,2
24.04,100.0,15.3,2
23.97,100.0,14.7,2
23.9,100.0,14.0,2
23.83,100.0,12.5,2
23.75,100.0,11.5,2
23.69,100.0,11.2,2
23.62,100.0,10.2,2
23.55,100.0,10.4,2
23.48,100.0,8.8,2
23.41,100.0,9.0,2
23.34,100.0,8.9,2
26.18,100.0,8.2,2
26.11,100.0,8.2,2
26.04,100.0,8.1,2
25.96,100.0,7.3,2
25.89,100.0,8.1,2
25.81,100.0,7.9,2
25.74,100.0,7.3,2
25.67,100.0,7.1,2
25.59,100.0,8.3,2
25.51,100.0,8.1,2
25.45,100.0,7.8,2
28.19,100.0,7.5,2
28.11,100.0,8.3,2
28.04,100.0,7.9,2
27.96,100.0,7.8,2
27.88,100.0,6.9,2
27.8,100.0,7.8,2
27.73,100.0,8.2,2
27.65,100.0,7.6,2
27.57,100.0,7.1,2
27.5,100.0,8.8,2
27.42,100.0,7.8,2
27.35,100.0,8.5,2
30.0,100.0,7.9,2
29.92,100.0,8.0,2
29.84,100.0,8.6,2
29.76,100.0,7.4,2
29.68,100.0,8.4,2
29.6,100.0,8.5,2
29.52,100.0,8.8,2
29.44,100.0,9.1,2
29.36,100.0,9.4,2
29.28,100.0,10.3,2
29.2,100.0,8.5,2
29.13,100.0,8.6,2
29.05,100.0,8.8,2
28.97,100.0,10.1,2
28.9,100.0,9.3,2
28.82,100.0,8.5,2
28.75,100.0,9.9,2
28.67,100.0,9.9,2
28.6,100.0,9.8,2
28.52,100.0,11.1,2
28.45,100.0,9.1,2
28.38,100.0,9.7,2
28.3,100.0,9.5,2
28.23,100.0,9.6,2
28.16,100.0,9.8,2
28.08,100.0,9.5,2
28.01,100.0,9.5,2
27.94,100.0,7.7,2
27.87,100.0,8.5,2
27.8,100.0,6.9,2
27.73,100.0,7.0,2
27.66,100.0,5.9,2
27.59,100.0,4.9,2
27.52,100.0,5.7,2
27.45,100.0,5.7,2
27.39,100.0,5.0,2
27.32,100.0,5.6,2
27.25,100.0,5.8,2
27.18,100.0,7.6,2
27.12,100.0,8.7,2
27.05,100.0,8.0,2
26.98,100.0,8.5,2
26.92,100.0,8.8,2
26.85,100.0,9.7,2
26.79,100.0,9.6,2
26.72,100.0,10.0,2
26.66,100.0,11.0,2
26.59,100.0,9.3,2
26.53,100.0,8.4,2
26.46,100.0,10.2,2
26.4,100.0,9.6,2
26.34,100.0,9.4,2
26.27,100.0,10.3,2
26.21,100.0,9.7,2
26.15,100.0,10.9,2
26.09,100.0,10.4,2
26.03,100.0,10.6,2
25.96,100.0,10.7,2
25.9,100.0,10.8,2
25.84,100.0,10.7,2
25.78,100.0,10.6,2
25.72,100.0,10.7,2
25.66,100.0,11.3,2
25.6,100.0,11.1,2
25.54,100.0,10.6,2
