blink_rate,gaze_score,head_deviation,focus_label
0.0,100.0,0.6,4
0.0,100.0,0.1,4
0.0,100.0,0.2,4
0.0,100.0,1.4,4
0.0,100.0,1.0,4
0.0,100.0,1.0,4
0.0,100.0,0.4,4
0.0,100.0,0.4,4
0.0,100.0,0.8,4
0.0,100.0,0.8,4
0.0,100.0,1.1,4
0.0,100.0,0.7,4
0.0,100.0,1.4,4
0.0,100.0,2.3,4
0.0,100.0,2.4,4
0.0,100.0,2.1,4
0.0,100.0,1.2,4
0.0,100.0,0.6,4
0.0,100.0,1.5,4
0.0,100.0,1.0,4
0.0,100.0,0.7,4
0.0,100.0,1.8,4
0.0,100.0,1.7,4
0.0,100.0,2.9,4
0.0,100.0,3.5,4
0.0,100.0,3.4,4
0.0,100.0,2.6,4
0.0,100.0,3.9,4
0.0,100.0,2.3,4
0.0,100.0,3.4,4
0.0,100.0,3.9,4
0.0,100.0,3.1,4
0.0,100.0,5.9,4
0.0,100.0,4.4,4
0.0,100.0,4.7,4
0.0,100.0,7.2,4
0.0,100.0,6.4,4
0.0,100.0,7.2,4
0.0,100.0,6.5,4
0.0,100.0,9.4,4
0.0,100.0,10.6,4
0.0,100.0,12.3,4
0.0,100.0,12.2,4
0.0,100.0,13.9,4
0.0,100.0,14.2,4
0.0,100.0,20.8,4
0.0,100.0,21.8,4
0.0,100.0,19.1,4
0.0,100.0,21.9,4
0.0,100.0,21.9,4
0.0,100.0,20.6,4
0.0,100.0,20.8,4
0.0,100.0,20.5,4
0.0,100.0,18.2,4
0.0,100.0,19.4,4
0.0,100.0,14.2,4
0.0,100.0,16.4,4
0.0,100.0,13.1,4
0.0,100.0,12.6,4
0.0,100.0,16.1,4
0.0,100.0,14.4,4
0.0,100.0,13.2,4
0.0,100.0,13.8,4
0.0,100.0,13.6,4
0.0,100.0,16.0,4
0.0,100.0,14.4,4
0.0,100.0,16.2,4
0.0,100.0,12.6,4
0.0,100.0,11.8,4
0.0,100.0,12.9,4
0.0,100.0,13.7,4
0.0,100.0,11.9,4
0.0,100.0,12.6,4
0.0,100.0,14.2,4
0.0,100.0,12.1,4
0.0,100.0,12.3,4
0.0,100.0,12.5,4
0.0,100.0,13.3,4
0.0,100.0,14.8,4
0.0,100.0,15.5,4
0.0,100.0,13.7,4
0.0,100.0,12.7,4
0.0,100.0,15.5,4
0.0,100.0,12.0,4
0.0,100.0,11.0,4
0.0,100.0,10.7,4
0.0,100.0,10.9,4
0.0,100.0,10.4,4
0.0,100.0,10.1,4
0.0,100.0,8.8,4
0.0,100.0,9.2,4
0.0,100.0,9.3,4
0.0,100.0,9.0,4
0.0,100.0,7.8,4
0.0,100.0,9.9,4
0.0,100.0,8.6,4
0.0,100.0,8.5,4
0.0,100.0,8.2,4
0.0,100.0,8.4,4
0.0,100.0,7.9,4
0.0,100.0,7.5,4
0.0,100.0,6.6,4
9.02,100.0,7.6,4
8.94,100.0,7.2,4
8.86,100.0,7.1,4
8.78,100.0,7.0,4
8.7,100.0,4.7,4
8.63,100.0,4.3,4
8.56,100.0,2.1,4
8.49,100.0,0.7,4
8.41,100.0,1.5,4
8.34,100.0,1.6,4
8.28,100.0,3.0,4
8.21,100.0,1.9,4
8.14,100.0,1.0,4
8.07,100.0,0.1,4
8.01,100.0,1.1,4
7.95,100.0,1.8,4
7.88,100.0,1.9,4
7.82,100.0,3.0,4
7.76,100.0,1.9,4
7.7,100.0,2.4,4
7.64,100.0,2.1,4
7.58,100.0,1.7,4
7.53,100.0,1.4,4
7.47,100.0,2.8,4
7.42,100.0,2.9,4
7.36,100.0,2.3,4
7.31,100.0,3.5,4
7.26,100.0,3.2,4
7.2,100.0,3.8,4
7.15,100.0,3.8,4
7.1,100.0,4.7,4
7.05,100.0,5.6,4
7.0,100.0,5.0,4
6.95,100.0,4.8,4
6.9,100.0,4.8,4
6.86,100.0,3.4,4
6.81,100.0,2.0,4
6.76,100.0,2.2,4
6.72,100.0,1.8,4
6.67,100.0,1.8,4
6.63,100.0,1.4,4
6.59,100.0,1.7,4
6.54,100.0,2.9,4
6.5,100.0,3.4,4
6.46,100.0,5.1,4
6.42,100.0,5.6,4
6.38,100.0,6.2,4
6.34,100.0,5.8,4
6.3,100.0,6.7,4
6.25,100.0,4.9,4
6.22,100.0,6.2,4
6.18,100.0,5.5,4
6.14,100.0,6.5,4
6.1,100.0,6.0,4
6.07,100.0,6.1,4
6.03,100.0,7.4,4
5.99,100.0,8.0,4
5.96,100.0,7.9,4
5.92,100.0,8.3,4
5.89,100.0,7.1,4
5.85,100.0,7.6,4
5.82,100.0,7.6,4
5.79,100.0,6.8,4
5.75,100.0,6.2,4
5.72,100.0,5.4,4
5.69,100.0,3.8,4
5.65,100.0,4.2,4
5.62,100.0,2.1,4
5.59,100.0,0.2,4
5.56,100.0,0.5,4
5.53,100.0,1.6,4
5.5,100.0,2.3,4
5.47,100.0,2.9,4
5.44,100.0,1.9,4
5.41,100.0,2.9,4
5.38,100.0,1.9,4
5.35,100.0,1.4,4
5.32,100.0,0.3,4
5.3,100.0,1.1,4
5.27,100.0,2.5,4
5.24,100.0,3.0,4
5.21,100.0,4.5,4
5.19,100.0,5.2,4
5.16,100.0,7.4,4
5.13,100.0,7.4,4
5.11,100.0,7.1,4
5.08,100.0,7.5,4
5.05,100.0,7.7,4
5.03,100.0,8.7,4
5.0,100.0,8.9,4
4.98,100.0,9.1,4
4.95,100.0,9.3,4
4.93,100.0,9.6,4
4.91,100.0,9.4,4
4.88,100.0,8.0,4
4.86,100.0,7.8,4
4.83,100.0,7.2,4
4.81,100.0,7.7,4
4.79,100.0,7.0,4
4.77,100.0,6.7,4
4.74,100.0,6.4,4
4.72,100.0,6.8,4
4.7,100.0,5.2,4
4.68,100.0,5.4,4
4.65,100.0,5.0,4
4.63,100.0,5.0,4
4.61,100.0,6.1,4
4.59,100.0,5.7,4
4.57,100.0,6.2,4
4.55,100.0,5.6,4
4.53,100.0,6.4,4
4.51,100.0,6.0,4
4.49,100.0,6.6,4
4.47,100.0,6.4,4
4.45,100.0,6.4,4
4.43,100.0,7.1,4
4.41,100.0,5.6,4
4.39,100.0,7.0,4
4.37,100.0,7.2,4
4.35,100.0,6.1,4
4.33,100.0,6.4,4
4.31,100.0,6.3,4
4.3,100.0,6.4,4
4.28,100.0,6.6,4
4.26,100.0,6.5,4
4.24,100.0,6.7,4
4.22,100.0,6.5,4
4.21,100.0,6.1,4
4.19,100.0,6.5,4
4.17,100.0,5.7,4
