blink_rate,gaze_score,head_deviation,focus_label
0.0,100.0,0.2,3
0.0,100.0,0.6,3
0.0,100.0,0.7,3
0.0,100.0,0.5,3
0.0,100.0,0.5,3
0.0,100.0,0.8,3
0.0,100.0,0.7,3
0.0,100.0,0.6,3
0.0,100.0,0.2,3
0.0,100.0,0.4,3
0.0,100.0,0.3,3
0.0,100.0,0.0,3
0.0,100.0,1.1,3
0.0,100.0,0.1,3
0.0,100.0,0.0,3
0.0,100.0,1.0,3
0.0,100.0,1.4,3
0.0,100.0,1.1,3
0.0,100.0,1.2,3
0.0,100.0,0.4,3
0.0,100.0,1.0,3
0.0,100.0,3.0,3
0.0,100.0,2.7,3
0.0,100.0,3.2,3
0.0,100.0,6.2,3
0.0,100.0,6.2,3
0.0,100.0,6.8,3
0.0,100.0,7.9,3
0.0,100.0,9.5,3
0.0,100.0,9.0,3
0.0,100.0,8.9,3
0.0,100.0,8.0,3
0.0,100.0,6.8,3
0.0,100.0,6.4,3
0.0,100.0,6.0,3
0.0,100.0,6.0,3
0.0,100.0,6.4,3
0.0,100.0,6.7,3
0.0,100.0,7.5,3
0.0,100.0,8.1,3
0.0,100.0,8.5,3
0.0,100.0,8.3,3
0.0,100.0,10.3,3
0.0,100.0,9.5,3
0.0,100.0,9.4,3
0.0,100.0,10.1,3
0.0,100.0,9.9,3
0.0,100.0,10.5,3
0.0,100.0,10.2,3
0.0,100.0,9.2,3
0.0,100.0,9.9,3
0.0,100.0,8.9,3
0.0,100.0,7.5,3
0.0,100.0,7.6,3
0.0,100.0,7.0,3
0.0,100.0,8.0,3
0.0,100.0,6.4,3
0.0,100.0,6.4,3
0.0,100.0,6.1,3
0.0,100.0,5.6,3
0.0,100.0,4.3,3
0.0,100.0,4.9,3
0.0,100.0,3.7,3
0.0,100.0,5.0,3
0.0,100.0,5.0,3
0.0,100.0,4.0,3
0.0,100.0,2.6,3
0.0,100.0,1.4,3
0.0,100.0,2.0,3
0.0,100.0,1.9,3
0.0,100.0,2.1,3
0.0,100.0,2.6,3
0.0,100.0,2.1,3
0.0,100.0,3.7,3
0.0,100.0,4.4,3
0.0,100.0,3.3,3
0.0,100.0,3.8,3
0.0,100.0,4.7,3
0.0,100.0,3.6,3
0.0,100.0,6.1,3
0.0,100.0,4.3,3
0.0,100.0,5.7,3
0.0,100.0,6.7,3
0.0,100.0,6.1,3
0.0,100.0,7.6,3
0.0,100.0,8.1,3
0.0,100.0,8.0,3
0.0,100.0,8.5,3
0.0,100.0,8.6,3
0.0,100.0,8.7,3
0.0,100.0,10.1,3
0.0,100.0,10.7,3
0.0,100.0,10.2,3
0.0,100.0,10.5,3
0.0,100.0,9.8,3
0.0,100.0,10.2,3
0.0,100.0,10.3,3
0.0,100.0,12.0,3
0.0,100.0,11.4,3
0.0,100.0,11.9,3
0.0,100.0,11.0,3
0.0,100.0,10.9,3
0.0,100.0,12.1,3
0.0,100.0,11.2,3
0.0,100.0,9.8,3
0.0,100.0,11.0,3
0.0,100.0,11.1,3
0.0,100.0,10.2,3
0.0,100.0,11.1,3
0.0,100.0,11.9,3
0.0,100.0,8.9,3
0.0,100.0,11.2,3
0.0,100.0,9.3,3
0.0,100.0,9.6,3
0.0,100.0,9.9,3
0.0,100.0,8.4,3
0.0,100.0,9.5,3
0.0,100.0,10.4,3
0.0,100.0,10.6,3
0.0,100.0,10.2,3
0.0,100.0,9.9,3
0.0,100.0,10.8,3
0.0,100.0,10.1,3
0.0,100.0,9.2,3
0.0,100.0,9.8,3
0.0,100.0,10.5,3
0.0,100.0,10.4,3
0.0,100.0,10.0,3
0.0,100.0,9.4,3
0.0,100.0,9.1,3
0.0,100.0,9.0,3
0.0,100.0,7.1,3
0.0,100.0,7.1,3
0.0,100.0,7.1,3
0.0,100.0,7.1,3
0.0,100.0,7.3,3
0.0,100.0,6.6,3
0.0,100.0,5.8,3
0.0,100.0,6.1,3
0.0,100.0,5.5,3
0.0,100.0,6.0,3
0.0,100.0,5.0,3
0.0,100.0,5.2,3
0.0,100.0,5.4,3
0.0,100.0,6.1,3
0.0,100.0,6.2,3
0.0,100.0,7.3,3
0.0,100.0,8.1,3
0.0,100.0,9.2,3
0.0,100.0,10.0,3
0.0,100.0,10.2,3
0.0,100.0,9.6,3
0.0,100.0,8.2,3
0.0,100.0,7.2,3
0.0,100.0,7.3,3
0.0,100.0,7.7,3
0.0,100.0,6.8,3
0.0,100.0,7.7,3
0.0,100.0,7.6,3
0.0,100.0,6.9,3
0.0,100.0,7.1,3
0.0,100.0,8.8,3
0.0,100.0,8.6,3
0.0,100.0,9.3,3
0.0,100.0,9.5,3
0.0,100.0,10.9,3
0.0,100.0,10.8,3
0.0,100.0,9.5,3
0.0,100.0,11.6,3
0.0,100.0,9.4,3
0.0,100.0,10.8,3
0.0,100.0,10.1,3
0.0,100.0,8.9,3
0.0,100.0,7.2,3
0.0,100.0,6.3,3
0.0,100.0,6.7,3
0.0,100.0,5.7,3
0.0,100.0,6.1,3
0.0,100.0,6.5,3
0.0,100.0,7.3,3
0.0,100.0,7.0,3
0.0,100.0,8.7,3
0.0,100.0,8.1,3
0.0,100.0,9.2,3
0.0,100.0,10.1,3
0.0,100.0,10.4,3
0.0,100.0,10.8,3
0.0,100.0,10.6,3
0.0,100.0,11.4,3
0.0,100.0,9.9,3
0.0,100.0,10.2,3
0.0,100.0,10.6,3
0.0,100.0,10.4,3
0.0,100.0,10.9,3
0.0,100.0,11.2,3
0.0,100.0,10.7,3
0.0,100.0,11.7,3
0.0,100.0,11.8,3
0.0,100.0,11.3,3
0.0,100.0,12.2,3
0.0,100.0,11.5,3
0.0,100.0,12.5,3
0.0,100.0,11.6,3
0.0,100.0,11.9,3
0.0,100.0,11.9,3
0.0,100.0,11.7,3
0.0,100.0,12.6,3
0.0,100.0,12.7,3
0.0,100.0,11.2,3
0.0,100.0,11.2,3
0.0,100.0,11.3,3
0.0,100.0,10.5,3
0.0,100.0,10.8,3
0.0,100.0,11.2,3
0.0,100.0,10.4,3
0.0,100.0,10.9,3
0.0,100.0,10.1,3
0.0,100.0,11.5,3
0.0,100.0,10.6,3
0.0,100.0,11.9,3
0.0,100.0,11.1,3
0.0,100.0,10.5,3
0.0,100.0,11.1,3
0.0,100.0,12.3,3
0.0,100.0,12.1,3
0.0,100.0,12.1,3
0.0,100.0,11.9,3
0.0,100.0,10.8,3
0.0,100.0,11.3,3
0.0,100.0,11.7,3
0.0,100.0,12.0,3
0.0,100.0,11.2,3
0.0,100.0,11.3,3
0.0,100.0,11.2,3
0.0,100.0,12.2,3
0.0,100.0,11.9,3
0.0,100.0,9.8,3
0.0,100.0,11.3,3
0.0,100.0,10.7,3
0.0,100.0,10.3,3
0.0,100.0,10.2,3
0.0,100.0,9.2,3
0.0,100.0,8.6,3
0.0,100.0,7.6,3
0.0,100.0,8.3,3
0.0,100.0,7.4,3
0.0,100.0,7.3,3
0.0,100.0,6.7,3
0.0,100.0,5.7,3
0.0,100.0,6.3,3
0.0,100.0,7.4,3
0.0,100.0,7.0,3
0.0,100.0,7.4,3
0.0,100.0,5.4,3
0.0,100.0,6.8,3
0.0,100.0,5.9,3
0.0,100.0,5.7,3
0.0,100.0,4.6,3
0.0,100.0,4.6,3
0.0,100.0,5.6,3
0.0,100.0,6.0,3
0.0,100.0,6.8,3
0.0,100.0,8.4,3
0.0,100.0,8.5,3
0.0,100.0,8.1,3
0.0,100.0,7.9,3
0.0,100.0,10.2,3
0.0,100.0,10.4,3
0.0,100.0,11.2,3
0.0,100.0,11.4,3
0.0,100.0,11.6,3
0.0,100.0,11.7,3
0.0,100.0,12.5,3
0.0,100.0,13.0,3
0.0,100.0,12.7,3
0.0,100.0,11.9,3
0.0,100.0,13.0,3
0.0,100.0,11.6,3
0.0,100.0,11.5,3
0.0,100.0,10.5,3
0.0,100.0,11.9,3
0.0,100.0,11.3,3
0.0,100.0,10.0,3
0.0,100.0,10.1,3
0.0,100.0,11.2,3
0.0,100.0,12.1,3
0.0,100.0,10.6,3
