blink_rate,gaze_score,head_deviation,focus_label
0.0,100.0,7.5,0
0.0,100.0,8.5,0
0.0,100.0,9.3,0
0.0,100.0,9.7,0
0.0,100.0,9.7,0
0.0,100.0,9.0,0
0.0,100.0,11.1,0
0.0,100.0,10.4,0
0.0,100.0,10.3,0
0.0,100.0,10.3,0
0.0,100.0,10.7,0
0.0,100.0,11.0,0
0.0,100.0,12.8,0
0.0,100.0,11.8,0
0.0,100.0,12.0,0
0.0,100.0,12.7,0
0.0,100.0,12.0,0
0.0,100.0,11.5,0
0.0,100.0,11.3,0
0.0,100.0,12.3,0
0.0,100.0,11.6,0
0.0,100.0,11.2,0
0.0,100.0,12.1,0
0.0,100.0,10.5,0
0.0,100.0,11.1,0
0.0,100.0,10.7,0
0.0,100.0,10.9,0
0.0,100.0,10.0,0
0.0,100.0,10.1,0
0.0,100.0,10.7,0
0.0,100.0,9.9,0
0.0,100.0,10.6,0
0.0,100.0,10.1,0
0.0,100.0,10.7,0
0.0,100.0,10.4,0
0.0,100.0,11.5,0
0.0,100.0,12.0,0
0.0,100.0,11.2,0
0.0,100.0,11.1,0
0.0,100.0,10.9,0
0.0,100.0,11.5,0
0.0,100.0,11.5,0
0.0,100.0,11.4,0
0.0,100.0,12.1,0
0.0,100.0,14.1,0
0.0,100.0,15.2,0
0.0,100.0,15.3,0
0.0,100.0,15.3,0
0.0,100.0,15.7,0
0.0,100.0,15.5,0
0.0,100.0,14.0,0
0.0,100.0,12.5,0
0.0,100.0,11.2,0
0.0,100.0,8.7,0
0.0,100.0,4.7,0
15.65,100.0,4.5,0
15.42,100.0,1.3,0
30.35,100.0,0.8,0
29.91,100.0,3.1,0
29.47,100.0,5.4,0
43.56,100.0,8.2,0
42.92,100.0,8.5,0
42.33,100.0,11.1,0
55.65,100.0,11.2,0
54.89,100.0,12.2,0
54.11,100.0,14.4,0
53.42,100.0,14.0,0
52.69,100.0,14.4,0
52.02,100.0,12.9,0
64.17,100.0,10.9,0
63.36,100.0,12.3,0
75.06,100.0,11.3,0
74.18,100.0,12.4,0
73.24,100.0,10.8,0
72.4,100.0,12.2,0
71.52,100.0,15.2,0
70.69,100.0,13.0,0
81.51,100.0,10.6,0
80.58,100.0,9.1,0
79.66,100.0,8.9,0
78.76,100.0,7.2,0
77.89,100.0,5.3,0
77.01,100.0,5.6,0
76.19,100.0,6.2,0
86.14,100.0,4.9,0
85.22,100.0,3.8,0
84.32,100.0,2.6,0
83.45,100.0,1.5,0
82.59,100.0,2.2,0
91.96,100.0,2.4,0
91.03,100.0,2.7,0
100.13,100.0,3.8,0
99.13,100.0,4.5,0
107.98,100.0,6.3,0
106.93,100.0,6.1,0
105.89,100.0,5.0,0
104.89,100.0,4.7,0
103.89,100.0,3.2,0
102.93,100.0,3.6,0
101.98,100.0,1.8,0
101.03,100.0,2.4,0
109.15,100.0,3.0,0
108.23,100.0,2.0,0
107.22,100.0,2.6,0
106.32,100.0,3.5,0
105.44,100.0,3.2,0
104.53,100.0,3.5,0
103.62,100.0,3.6,0
102.73,100.0,4.6,0
101.85,100.0,4.2,0
109.42,100.0,2.9,0
108.5,100.0,3.4,0
107.6,100.0,3.0,0
106.72,100.0,3.4,0
105.84,100.0,5.4,0
105.01,100.0,4.7,0
104.16,100.0,6.1,0
103.33,100.0,7.2,0
102.52,100.0,8.7,0
101.72,100.0,9.8,0
100.93,100.0,12.7,0
100.14,100.0,15.5,0
99.34,100.0,15.9,0
98.62,100.0,15.9,0
97.89,100.0,17.1,0
97.16,100.0,16.1,0
96.43,100.0,14.8,0
95.72,100.0,14.7,0
95.03,100.0,12.3,0
94.33,100.0,13.5,0
93.66,100.0,12.9,0
100.14,100.0,12.4,0
99.42,100.0,13.5,0
98.73,100.0,14.9,0
98.04,100.0,14.4,0
97.36,100.0,14.5,0
96.68,100.0,16.2,0
96.01,100.0,15.5,0
95.37,100.0,13.9,0
94.72,100.0,13.1,0
94.08,100.0,11.3,0
93.45,100.0,13.7,0
92.83,100.0,10.5,0
92.22,100.0,11.4,0
91.61,100.0,10.0,0
91.03,100.0,9.6,0
90.43,100.0,11.3,0
89.85,100.0,12.4,0
89.29,100.0,10.6,0
88.7,100.0,10.8,0
88.16,100.0,11.9,0
87.61,100.0,11.5,0
87.06,100.0,10.8,0
86.53,100.0,10.5,0
85.99,100.0,10.2,0
85.47,100.0,11.7,0
84.95,100.0,10.7,0
84.43,100.0,12.5,0
83.9,100.0,11.4,0
83.43,100.0,11.4,0
82.94,100.0,11.8,0
82.44,100.0,11.9,0
81.96,100.0,12.1,0
81.49,100.0,12.0,0
81.01,100.0,12.3,0
80.52,100.0,11.2,0
80.09,100.0,10.7,0
79.63,100.0,10.6,0
79.18,100.0,11.3,0
78.74,100.0,12.3,0
78.3,100.0,11.7,0
77.86,100.0,10.1,0
77.43,100.0,10.7,0
77.0,100.0,11.4,0
76.58,100.0,12.6,0
76.17,100.0,10.8,0
75.75,100.0,10.9,0
75.35,100.0,10.2,0
74.95,100.0,11.0,0
74.55,100.0,10.6,0
74.15,100.0,10.4,0
73.76,100.0,10.1,0
73.37,100.0,10.3,0
73.0,100.0,12.5,0
72.6,100.0,11.2,0
72.24,100.0,11.7,0
71.86,100.0,11.4,0
71.5,100.0,11.8,0
71.14,100.0,11.3,0
70.78,100.0,11.2,0
70.42,100.0,11.1,0
70.07,100.0,12.3,0
69.72,100.0,12.3,0
69.38,100.0,11.0,0
69.02,100.0,13.6,0
68.69,100.0,12.0,0
68.36,100.0,12.5,0
68.03,100.0,11.0,0
67.7,100.0,10.1,0
67.37,100.0,12.3,0
67.05,100.0,12.6,0
66.73,100.0,11.5,0
66.41,100.0,11.9,0
66.09,100.0,11.3,0
65.79,100.0,12.3,0
65.48,100.0,12.3,0
65.18,100.0,12.5,0
64.87,100.0,13.5,0
64.57,100.0,13.6,0
64.28,100.0,12.2,0
63.98,100.0,11.9,0
63.69,100.0,12.5,0
63.4,100.0,13.7,0
67.63,100.0,12.7,0
67.32,100.0,13.3,0
67.02,100.0,12.5,0
66.73,100.0,13.1,0
66.43,100.0,12.3,0
66.13,100.0,12.3,0
65.84,100.0,12.4,0
65.58,100.0,12.2,0
65.28,100.0,10.4,0
65.01,100.0,12.6,0
64.72,100.0,13.0,0
64.45,100.0,11.6,0
64.18,100.0,11.3,0
63.9,100.0,12.8,0
63.63,100.0,11.5,0
63.36,100.0,11.8,0
