blink_rate,gaze_score,head_deviation,focus_label
0.0,100.0,4.0,1
0.0,100.0,4.2,1
0.0,100.0,4.1,1
0.0,100.0,4.0,1
0.0,100.0,3.5,1
0.0,100.0,4.8,1
0.0,100.0,4.1,1
0.0,100.0,3.9,1
0.0,100.0,4.0,1
0.0,100.0,5.0,1
0.0,100.0,4.7,1
0.0,100.0,5.3,1
0.0,100.0,3.5,1
0.0,100.0,4.6,1
0.0,100.0,4.6,1
0.0,100.0,5.5,1
0.0,100.0,5.7,1
0.0,100.0,5.3,1
0.0,100.0,5.5,1
0.0,100.0,6.6,1
0.0,100.0,7.5,1
0.0,100.0,6.6,1
0.0,100.0,6.9,1
31.34,100.0,8.3,1
30.41,100.0,6.7,1
29.51,100.0,3.7,1
27.07,100.0,8.5,1
52.8,100.0,10.5,1
51.41,100.0,15.3,1
50.14,100.0,16.6,1
48.93,100.0,21.3,1
47.73,100.0,19.0,1
46.63,100.0,14.1,1
42.6,100.0,28.0,1
41.76,100.0,28.4,1
40.9,100.0,24.7,1
40.08,100.0,22.3,1
58.95,100.0,16.9,1
57.82,100.0,15.5,1
56.72,100.0,15.6,1
55.65,100.0,11.2,1
54.65,100.0,16.3,1
71.58,100.0,16.7,1
70.3,100.0,18.2,1
69.11,100.0,4.5,1
67.91,100.0,9.9,1
83.49,100.0,7.0,1
82.12,100.0,10.8,1
80.78,100.0,9.4,1
79.51,100.0,9.2,1
78.24,100.0,11.7,1
77.05,100.0,7.8,1
75.88,100.0,0.4,1
74.72,100.0,1.8,1
88.39,100.0,3.9,1
87.1,100.0,3.1,1
85.79,100.0,3.2,1
98.7,100.0,2.2,1
97.32,100.0,1.2,1
109.77,100.0,0.4,1
108.26,100.0,0.6,1
106.81,100.0,1.6,1
105.42,100.0,1.6,1
117.05,100.0,1.8,1
115.55,100.0,3.8,1
114.08,100.0,3.4,1
112.65,100.0,6.0,1
111.27,100.0,6.9,1
109.9,100.0,8.9,1
120.65,100.0,8.1,1
119.2,100.0,10.4,1
117.78,100.0,8.0,1
128.08,100.0,9.6,1
126.6,100.0,5.7,1
125.16,100.0,0.3,1
123.75,100.0,3.2,1
133.5,100.0,4.6,1
132.03,100.0,4.2,1
127.74,100.0,0.7,1
126.46,100.0,4.6,1
125.14,100.0,2.9,1
123.85,100.0,10.2,1
120.05,100.0,10.9,1
126.27,100.0,36.3,1
125.13,100.0,39.4,1
122.7,100.0,41.0,1
121.61,100.0,37.2,1
120.49,100.0,41.1,1
119.4,100.0,45.4,1
124.02,100.0,33.4,1
123.0,100.0,33.3,1
121.93,100.0,34.0,1
129.51,100.0,35.0,1
128.36,100.0,33.3,1
127.32,100.0,31.1,1
126.24,100.0,27.2,1
125.19,100.0,23.0,1
124.12,100.0,24.6,1
123.12,100.0,26.7,1
122.13,100.0,28.9,1
121.14,100.0,28.7,1
120.17,100.0,32.5,1
119.21,100.0,31.8,1
118.27,100.0,31.0,1
115.49,100.0,25.5,1
114.65,100.0,25.9,1
112.89,100.0,24.6,1
112.07,100.0,23.6,1
111.23,100.0,24.4,1
110.43,100.0,23.3,1
106.47,100.0,24.1,1
105.76,100.0,24.7,1
105.03,100.0,25.3,1
103.54,100.0,26.9,1
102.12,100.0,24.5,1
101.48,100.0,25.7,1
100.73,100.0,25.0,1
100.1,100.0,24.5,1
99.45,100.0,26.5,1
98.8,100.0,24.7,1
98.16,100.0,28.7,1
97.51,100.0,26.2,1
96.89,100.0,24.7,1
102.67,100.0,24.5,1
102.02,100.0,24.0,1
101.37,100.0,23.9,1
100.73,100.0,22.5,1
100.11,100.0,23.3,1
99.49,100.0,22.9,1
98.87,100.0,23.0,1
98.27,100.0,22.2,1
97.67,100.0,23.1,1
97.08,100.0,23.4,1
96.47,100.0,20.0,1
95.89,100.0,16.8,1
95.34,100.0,11.4,1
100.69,100.0,4.3,1
100.11,100.0,0.1,1
99.52,100.0,4.8,1
98.94,100.0,11.6,1
98.37,100.0,15.8,1
97.8,100.0,16.8,1
97.25,100.0,16.7,1
96.68,100.0,16.2,1
96.14,100.0,15.1,1
95.6,100.0,12.8,1
95.06,100.0,12.8,1
94.54,100.0,11.7,1
94.02,100.0,11.5,1
93.5,100.0,11.1,1
92.99,100.0,10.1,1
92.48,100.0,9.8,1
91.98,100.0,10.0,1
91.48,100.0,9.9,1
91.0,100.0,11.3,1
90.51,100.0,10.4,1
90.03,100.0,11.7,1
89.56,100.0,12.2,1
89.09,100.0,10.9,1
88.62,100.0,12.6,1
88.17,100.0,11.9,1
87.71,100.0,13.3,1
87.26,100.0,13.4,1
86.81,100.0,13.5,1
86.37,100.0,13.5,1
85.93,100.0,13.5,1
85.49,100.0,14.0,1
85.07,100.0,13.4,1
84.65,100.0,13.1,1
84.23,100.0,12.8,1
83.82,100.0,13.0,1
83.41,100.0,13.0,1
83.0,100.0,13.2,1
82.59,100.0,12.8,1
82.2,100.0,12.6,1
81.8,100.0,12.6,1
81.41,100.0,10.5,1
81.02,100.0,7.3,1
80.63,100.0,6.6,1
80.25,100.0,4.2,1
79.87,100.0,2.0,1
79.49,100.0,0.3,1
79.14,100.0,0.6,1
78.77,100.0,0.3,1
78.4,100.0,1.8,1
78.03,100.0,1.2,1
77.68,100.0,0.8,1
77.34,100.0,0.2,1
76.98,100.0,0.4,1
76.63,100.0,1.1,1
76.27,100.0,1.2,1
75.94,100.0,0.4,1
75.62,100.0,1.2,1
79.71,100.0,0.2,1
79.36,100.0,1.1,1
79.03,100.0,0.5,1
78.68,100.0,0.8,1
78.35,100.0,0.6,1
78.0,100.0,0.5,1
77.67,100.0,0.1,1
77.33,100.0,0.7,1
77.0,100.0,1.2,1
76.68,100.0,1.4,1
76.35,100.0,0.4,1
76.02,100.0,0.8,1
75.71,100.0,0.6,1
75.39,100.0,1.6,1
75.08,100.0,0.5,1
74.76,100.0,1.8,1
74.46,100.0,0.6,1
74.15,100.0,0.9,1
73.84,100.0,0.2,1
73.54,100.0,1.2,1
73.25,100.0,0.3,1
72.95,100.0,0.7,1
72.65,100.0,0.4,1
72.36,100.0,0.6,1
72.06,100.0,1.0,1
71.78,100.0,1.0,1
71.5,100.0,0.4,1
71.21,100.0,0.3,1
70.93,100.0,0.9,1
70.65,100.0,0.0,1
70.38,100.0,0.2,1
70.11,100.0,0.9,1
69.83,100.0,0.2,1
69.56,100.0,0.7,1
69.3,100.0,0.4,1
69.03,100.0,0.5,1
68.77,100.0,0.9,1
68.51,100.0,1.6,1
68.25,100.0,0.8,1
67.99,100.0,0.3,1
67.73,100.0,0.8,1
67.47,100.0,0.7,1
67.23,100.0,0.4,1
66.98,100.0,0.7,1
66.73,100.0,0.1,1
66.48,100.0,0.3,1
66.24,100.0,0.9,1
65.99,100.0,0.3,1
65.75,100.0,1.3,1
65.51,100.0,0.4,1
65.28,100.0,1.2,1
65.04,100.0,1.4,1
68.41,100.0,1.6,1
68.16,100.0,1.6,1
