blink_rate,gaze_score,head_deviation,focus_label
42.6,100.0,15.4,3
42.42,100.0,16.4,3
42.24,100.0,15.0,3
46.27,100.0,14.9,3
46.08,100.0,14.1,3
45.88,100.0,12.6,3
45.69,100.0,13.1,3
45.5,100.0,12.6,3
45.32,100.0,13.4,3
45.13,100.0,12.8,3
44.94,100.0,13.5,3
44.76,100.0,13.5,3
44.58,100.0,13.3,3
44.4,100.0,12.7,3
44.22,100.0,12.8,3
44.05,100.0,12.1,3
43.87,100.0,12.9,3
43.7,100.0,13.1,3
43.52,100.0,12.9,3
43.35,100.0,11.6,3
43.18,100.0,12.9,3
43.01,100.0,11.7,3
42.85,100.0,10.8,3
42.68,100.0,11.3,3
42.52,100.0,10.1,3
42.35,100.0,10.4,3
42.19,100.0,9.2,3
42.03,100.0,8.0,3
41.87,100.0,8.9,3
41.71,100.0,5.9,3
41.55,100.0,4.3,3
41.39,100.0,3.1,3
41.24,100.0,2.1,3
41.09,100.0,0.3,3
40.93,100.0,1.3,3
40.78,100.0,0.6,3
40.62,100.0,1.0,3
40.48,100.0,0.9,3
40.33,100.0,2.1,3
40.18,100.0,1.7,3
40.04,100.0,2.1,3
39.89,100.0,3.3,3
39.75,100.0,1.8,3
39.61,100.0,2.7,3
39.46,100.0,3.9,3
39.32,100.0,5.0,3
39.18,100.0,5.7,3
39.04,100.0,5.9,3
38.9,100.0,7.1,3
38.77,100.0,8.4,3
38.63,100.0,8.9,3
38.5,100.0,9.2,3
38.36,100.0,11.2,3
38.22,100.0,10.2,3
38.1,100.0,11.7,3
37.96,100.0,10.4,3
37.83,100.0,10.2,3
37.7,100.0,8.6,3
37.57,100.0,8.0,3
37.45,100.0,6.3,3
37.32,100.0,4.6,3
37.19,100.0,4.7,3
37.07,100.0,2.5,3
36.94,100.0,0.2,3
36.82,100.0,0.6,3
36.7,100.0,0.9,3
36.57,100.0,0.6,3
36.45,100.0,3.5,3
36.33,100.0,5.3,3
36.22,100.0,4.9,3
36.1,100.0,6.4,3
35.98,100.0,6.1,3
35.86,100.0,6.5,3
35.74,100.0,6.3,3
35.63,100.0,6.8,3
35.51,100.0,5.8,3
35.4,100.0,4.7,3
35.29,100.0,4.3,3
35.17,100.0,2.5,3
35.06,100.0,0.4,3
34.95,100.0,4.7,3
34.84,100.0,4.1,3
34.73,100.0,7.3,3
34.62,100.0,6.4,3
34.49,100.0,5.5,3
34.4,100.0,4.7,3
34.29,100.0,2.9,3
34.19,100.0,4.1,3
34.08,100.0,3.3,3
33.98,100.0,4.4,3
33.87,100.0,4.5,3
33.77,100.0,6.9,3
33.67,100.0,3.2,3
33.56,100.0,7.0,3
33.46,100.0,9.2,3
33.36,100.0,8.5,3
33.25,100.0,5.7,3
33.16,100.0,6.2,3
33.06,100.0,6.7,3
32.96,100.0,6.4,3
32.86,100.0,6.4,3
32.76,100.0,6.4,3
32.67,100.0,6.6,3
32.57,100.0,7.7,3
32.47,100.0,7.6,3
32.38,100.0,6.9,3
32.28,100.0,6.5,3
32.19,100.0,6.1,3
32.09,100.0,6.0,3
32.0,100.0,5.3,3
31.91,100.0,4.9,3
31.82,100.0,3.2,3
31.73,100.0,3.5,3
31.64,100.0,2.6,3
31.54,100.0,3.0,3
31.46,100.0,2.8,3
31.37,100.0,2.1,3
31.28,100.0,4.3,3
31.19,100.0,4.2,3
31.1,100.0,5.3,3
31.01,100.0,5.8,3
30.93,100.0,5.4,3
30.84,100.0,5.3,3
30.75,100.0,4.5,3
30.67,100.0,3.7,3
30.58,100.0,4.9,3
30.5,100.0,3.1,3
30.41,100.0,4.7,3
30.33,100.0,4.9,3
30.25,100.0,3.7,3
30.16,100.0,4.1,3
30.08,100.0,4.1,3
30.0,100.0,4.5,3
29.92,100.0,4.3,3
29.84,100.0,4.4,3
29.76,100.0,4.5,3
29.67,100.0,4.7,3
29.6,100.0,4.9,3
29.52,100.0,6.0,3
29.44,100.0,6.0,3
29.36,100.0,5.1,3
29.28,100.0,6.5,3
29.2,100.0,5.7,3
29.12,100.0,6.5,3
29.05,100.0,6.6,3
28.97,100.0,7.1,3
28.9,100.0,5.3,3
28.82,100.0,6.8,3
28.74,100.0,7.2,3
28.67,100.0,7.0,3
28.6,100.0,5.6,3
28.52,100.0,5.9,3
28.45,100.0,6.0,3
28.37,100.0,5.6,3
28.3,100.0,5.9,3
28.23,100.0,6.3,3
28.16,100.0,5.1,3
28.08,100.0,6.9,3
28.01,100.0,6.7,3
27.94,100.0,5.3,3
27.87,100.0,5.9,3
27.8,100.0,5.2,3
30.25,100.0,6.0,3
30.18,100.0,5.4,3
30.1,100.0,6.0,3
30.02,100.0,5.5,3
29.95,100.0,5.4,3
29.88,100.0,6.7,3
29.8,100.0,6.7,3
29.73,100.0,6.3,3
